Paises,tipo_de_processo,Utilização_final,Numero_de_plantas,Capacidade_de_produção_T/ano,Produção_T/ano,Ano,Total,Cluster
Italy,Water electrolysis,Unknown,1,21453,14588,2023,36041,0
Netherlands,Water electrolysis,Mobility,5,56314,38294,2023,94608,0
Netherlands,Water electrolysis,Refining,1,44694,30392,2023,75086,0
Norway,Water electrolysis,Mobility,2,28604,19451,2023,48055,0
Norway,Water electrolysis,Unknown,1,98327,66862,2023,165189,0
Norway,Water electrolysis,Power generation,1,44694,30392,2023,75086,0
Poland,Water electrolysis,Mobility,1,3576,2431,2023,6007,0
Portugal,Water electrolysis,Power generation,1,5363,3647,2023,9010,0
Romania,Water electrolysis,Industrial heat,1,4469,3039,2023,7508,0
Romania,Water electrolysis,Steel,1,4469,3039,2023,7508,0
Slovenia,Water electrolysis,Industrial heat,1,2682,1824,2023,4506,0
Slovenia,Water electrolysis,Unknown,1,6257,4255,2023,10512,0
Slovenia,Water electrolysis,Power generation,1,1788,1216,2023,3004,0
Spain,Water electrolysis,Ammonia,1,357551,243135,2023,600686,0
Spain,Water electrolysis,Industrial heat,1,14302,97254,2023,111556,0
Spain,Water electrolysis,Mobility,3,96896,6589,2023,103485,0
Spain,Water electrolysis,Unknown,1,2324,158,2023,2482,0
Spain,Water electrolysis,Refining,1,44694,30392,2023,75086,0
Sweden,Water electrolysis,Industrial heat,1,357551,243135,2023,600686,0
Sweden,Water electrolysis,Mobility,3,81343,55313,2023,136656,0
Sweden,Water electrolysis,Unknown,1,17878,12157,2023,30035,0
Sweden,Water electrolysis,Steel,1,80449,54705,2023,135154,0
Switzerland,Water electrolysis,Blending in natural gas pipelines,1,6257,4255,2023,10512,0
Switzerland,Water electrolysis,E-fuels,1,44694,30392,2023,75086,0
Switzerland,Water electrolysis,Mobility,3,107265,7294,2023,114559,0
Switzerland,Water electrolysis,Unknown,1,8939,6078,2023,15017,0
Switzerland,Water electrolysis,Other chemicals,1,125143,85097,2023,210240,0
United Kingdom,Water electrolysis,Blending in natural gas pipelines,1,8939,6078,2023,15017,0
United Kingdom,Water electrolysis,Mobility,10,1373,93364,2023,94737,3
United Kingdom,Water electrolysis,Other chemicals,2,33431,22733,2023,56164,0
Brazil,H2V,By-product,0,500000,500000,2023,1000000,0
Brazil,H2V,Unknown,2,305505,305505,2023,611010,0
Brazil,H2V,Unknown,12,600000,600000,2023,1200000,3
Brazil,H2V,Unknown,13,2000,2000,2023,4000,3
Brazil,H2V,Unknown,14,488000,488000,2023,976000,3
Brazil,H2V e NH3,Ammonia,0,365000,365000,2023,730000,0
Brazil,H2V,Refining,18,0,0,2023,0,3
Brazil,H2V,Refining,3,488000,488000,2023,976000,0
Brazil,H2V,Refining,0,0,0,2023,0,0
Brazil,NH3V,Ammonia,9,600000,600000,2023,1200000,3
Brazil,H2V,Refining,4,0,0,2023,0,0
Brazil,H2V,Refining,11,250000,250000,2023,500000,3
